Principe actif;Classe;Galénique;Galéniques alternatives;Préparation;Goût;Administration du médicament modifié;Informations;Sources;Autres sources;Réponses des laboratoires;Date
MORPHINE SULFATE 5, 10, 20 et 30 mg (Actiskenan);Alcaloïdes naturels de l'opium;Gélule;Solution buvable;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être dispersé dans un aliment semi-solide (compote, yaourt…). Administration immédiate.;RCP;;Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude;18/04/2023
MORPHINE SULFATE LP 10, 30, 60, 100 et 200 mg (Moscontin LP);Alcaloïdes naturels de l'opium;Comprimé LP;Gélules LP ouvrables;Ne pas écraser ni croquer;;;Risque d'effets indésirables graves avec les comprimés écrasés.;RCP;;;18/04/2023
MORPHINE SULFATE LP 10, 30, 60, 100 et 200 mg (Skenan LP);Alcaloïdes naturels de l'opium;Gélule LP;Pas d'équivalent LP;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être dispersé dans un aliment semi-solide (compote, yaourt…). Administration immédiate.;RCP;;;18/04/2023
MOXIFLOXACINE 400 mg (Izilox);Fluoroquinolones;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;Thériaque 03/2023;Ecrasable selon laboratoire;Bayer 21-02-2022 : écrasement possible mais goût amer, peut être mélangé à des aliments semi-liquides;18/04/2023
MOXONIDINE 0,2 et 0,4 mg (Physiotens);Agonistes des récepteurs de l'imidazoline;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence à heure fixe.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
MYCOPHENOLATE 180 et 360 mg (Myfortic);Immunosuppresseurs sélectifs;Comprimé GR;Non;Ne pas écraser ni croquer;;;PA tératogène.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
MYCOPHENOLATE 250 mg (Cellcept);Immunosuppresseurs sélectifs;Gélule;Non;Ne pas ouvrir;;;PA tératogène.;RCP;;;18/04/2023
MYCOPHENOLATE 500 mg (Cellcept);Immunosuppresseurs sélectifs;Comprimé;Non;Ne pas écraser ni croquer;;;PA tératogène.;RCP;;;18/04/2023
NABUMETONE 500 mg (Nabucox);Autres anti-inflammatoires antirhumatismaux non stéroïdiens;Comprimé;Comprimés dispersibles;Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
NADOLOL 80 mg (Corgard);Bêta-bloquants non sélectifs;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le matin.;Notice patient;;Cheplapharm 14-03-2022 : cf. RCP;18/04/2023
NAFTIDROFURYL 200 mg (Naftilux);Autres vasodilatateurs péripheriques;Gélule;Non;Ne pas ouvrir;;;A prendre pendant les repas. PA irritant.;RCP;;Therabel 25-02-2022 : cf. RCP;18/04/2023
NALMENIDINE 200 µg (Rizmoic);Antagonistes des récepteurs opioïdes périphériques;Comprimé;Non;Ne pas écraser ni croquer;;;Pas de données concernant le changement de biodisponibilité lors d'un passage par sonde nasogastrique, ni par sonde gastro-jéjunostomie permettant la recommandation d'un écrasement possible par le labo.;Réponse laboratoire;;Viatris 16-06-2025 : écrasement déconseillé car pas d'étude;23/06/2025
NALOXEGOL 12,5 et 25 mg (Moventig);Antagonistes du récepteur opioïde périphérique;Comprimé;Non;Écrasement possible;;Prise possible avec de l’eau<br>Prise immédiate après préparation<br>;A prendre en dehors des repas, de préférence le matin. Peut être écrasé et mélangé dans ½ verre d'eau, à boire immédiatement. Rincer ensuite le verre avec ½ volume d'eau et le boire immédiatement.;RCP;;;20/07/2023
NALTREXONE 50 mg (Revia);Médicaments utilisés en cas de dépendance à l'alcool;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Accord Healthcare 15-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
NAPROXENE 550 mg (Antalnox);Dérivés de l'acide propionique;Comprimé  sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;RCP;;Pierre Fabre 21-02-2022 : écrasement déconseillé car pas d'étude.;19/09/2023
NARATRIPTAN 2,5 mg (Naramig);Agonistes sélectifs des récepteurs 5-HT1;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre pendant la crise de migraine uniquement, de préférence le plus tôt possible.;RCP;;GSK 15-02-2022 : cf RCP;18/04/2023
NEBIVOLOL 5 mg (Temerit);Bêta-bloquants sélectifs;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Menarini 14-02-2022 : non-écrasable car pas d'étude.;18/04/2023
NEFOPAM 30mg (générique);Autres analgésiques et antipyrétiques;Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;Panpharma 18-06-2024 : écrasement déconseillé car pas d'étude;24/06/2024
NEVIRAPINE 200 mg (Viramune);Inhibiteurs de la transcriptase inverse non nucléosidique;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;;RCP;Ecrasable selon HUG 03/2023;Boehringer Ingelheim 24-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
NEVIRAPINE LP 100 et 400 mg (génériques);Inhibiteurs de la transcriptase inverse non nucléosidique;Comprimé LP;"? Non LP ?
Suspension buvable";Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
NICARDIPINE 20 mg (Loxen);Dérivés de la dihydropyridine;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre avant les repas. Eviter le jus de pamplemousse.;Notice patient;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données;18/04/2023
NICARDIPINE LP 50 mg (Loxen LP);Dérivés de la dihydropyridine;Gélule LP;Non;Ne pas ouvrir;;;A prendre avant les repas. Eviter le jus de pamplemousse.;RCP;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données;18/04/2023
NICORANDIL 10 et 20 mg (Ikorel);Autres vasodilatateurs utilisés dans les maladies cardiaques;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;Administration immédiate.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
NICOTINAMIDE 500 mg (Nicobion);Autres préparations à base de vitamines seules;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;Ecrasable selon HUG 03/2023;Teofarma 08-03-2022 : écrasement déconseillé car pas d'étude. Photosensible.;18/04/2023
NIFEDIPINE LP 20 et 30 mg (génériques);Dérivés de la dihydropyridine;Comprimé LP;Non;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;RCP;;En attente (génériques);18/04/2023
NILOTINIB 50, 150 et 200 mg (Tasigna);Inhibiteurs de protéine kinase;Gélule;Non;Ouverture possible;;Prise possible avec de la compote<br>Prise immédiate après préparation<br>;A prendre ? 2h après et ? 1h avant les repas. La gélule peut être vidée dans une cuillère à café de compote de pomme uniquement, pour administration immédiate. Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
NILUTAMIDE 50 et 150 (Anandron);Anti-androgènes;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
NIMODIPINE 30 mg (Nimotop);Dérivés de la dihydropyridine;Comprimé;Non;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Bayer 21-02-2022 : écrasement déconseillé car photosensible.;18/04/2023
NINTEDANIB 100 et 150 mg (Ofev);Inhibiteurs de protéine kinase;Capsule molle;Non;Ne pas ouvrir;;;A prendre à heure fixe pendant les repas.;RCP;;Boehringer Ingelheim 24-02-2022 : cf. RCP;18/04/2023
NIRMATRELVIR / RITONAVIR 150/100  mg (Paxlovid);Inhibiteurs de protéase;Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;;30/06/2023
NITRAZEPAM 5 mg (Mogadon);Dérivés des benzodiazépines;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre avant le coucher.;Réponse laboratoire;;Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.;18/04/2023
NITRENDIPINE 10 et 20 mg (génériques);Dérivés de la dihydropyridine;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre en fin de repas. Eviter le jus de pamplemousse.;RCP;;En attente (génériques);18/04/2023
NITROFURANTOINE 50 mg (Furadantine);Dérivés du nitrofurane;Gélule;Solution buvable (AAC);Ne pas ouvrir;;;A prendre de préférence pendant les repas.;Réponse laboratoire;;Teva 01-03-2022 : ouverture déconseillée car pas d'étude;18/04/2023
NOMEGESTROL 5 mg (Lutenyl);Dérivés pregnadiène;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Theramex 17-02-2022 : écrasement déconseillé car pas d'étude;18/04/2023
NORETHANDROLONE 10 mg (Nilevar);Dérivés de l'androstane;Comprimé sécable;Non;Ne pas écraser ni croquer;;;;Notice patient;;;18/04/2023
NORFLOXACINE 400 mg (génériques);Fluoroquinolones;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;Ne pas prendre avec un produit laitier.;Réponse laboratoire;;Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
OFLOXACINE 200 mg (Monoflocet, Oflocet);Fluoroquinolones;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;Ne pas prendre de fer, d'antiacides ou de sucralfate 2h après la prise.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
OLANZAPINE 5, 7,5 et 10 mg (Zyprexa);Diazépines, oxazépines, thiazépines et oxépines;Comprimé;Comprimés orodispersibles;Ne pas écraser ni croquer;;;A prendre à heure fixe. PA irritant.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Lilly 06-08-2020 : écrasement déconseillé car comprimé sensible à la lumière et à l'oxydation, et risque de majoration des EI;18/04/2023
OLAPARIB 100, 150 mg (Lynparza);Iinhibiteurs de poly (ADP-RIBOSE) polymerase (PARP) ;Comprimé;Non;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Réponse laboratoire;;AstraZeneca 13-05-2022 : cf. RCP ;18/04/2023
OLMESARTAN 10, 20 et 40 mg (Olmetec);Antagonistes de l'angiotensine II non associés;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre à heure fixe.;RCP;;;19/09/2023
OMEPRAZOLE 10 et 20 mg (Mopral);Inhibiteurs de la pompe à protons;Gélule GR;Comprimés GR;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec de la compote<br>Prise immédiate après préparation<br>;Les gélules peuvent être vidées dans de l'eau plate, un jus ou une compote. Administration immédiate (< 30 min).;RCP;;Cheplapharm 14-03-2022 : cf. RCP;19/09/2023
OMEPRAZOLE 20 mg (Mopralpro);Inhibiteurs de la pompe à protons;Comprimé GR;Gélules ouvrables;Délitement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec de la compote<br>Prise immédiate après préparation<br>;Peut être dissout sans l'écraser dans de l'eau plate, un jus ou une compote. Administration immédiate (< 30 min).;RCP;;;18/04/2023
ONDANSETRON 4 et 8 mg (Zophren);Antagonistes de la sérotonine (5-HT3);Comprimé;Comprimés orodispersibles, sirop, suppositoire;Ne pas écraser ni croquer;Goût désagréable;;;RCP;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
ORNIDAZOLE 500 (Tiberal);Dérivés de l'imidazole;Comprimé;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Serb 22-03-2022 : écrasement déconseillé car pas d'étude + photosensible.;18/04/2023
OSELTAMIVIR 30, 45 et 75 mg (Tamiflu, Ebilfumin);Inhibiteurs de la neuraminidase;Gélule;Poudre pour suspension buvable;Ouverture possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;A mélanger à un liquide sucré (eau sucrée, chocolat liquide, sirop, coulis) pour masquer le goût. Administration immédiate.;RCP;;;18/04/2023
OXAZEPAM 10 et 50 mg (Seresta);Dérivés des benzodiazépines;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;;Réponse laboratoire;Ecrasable selon HUG 03/2023;Neuraxpharm 22-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
OXCARBAZEPINE 150, 300 et 600 mg (Trileptal);Dérivés du carboxamide;Comprimé sécable;Suspension buvable;Ne pas écraser ni croquer;;;A prendre à heure fixe sauf mention contraire. Peut être cassé en deux pour être avalé plus facilement.;RCP;Ecrasable selon HUG 03/2023;Novartis 16-03-2022 : cf. RCP;18/04/2023
OXETORONE 60 mg (Nocertone);Autres antimigraineux;Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre de préférence avant les repas du soir et au coucher.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
OXYBUTYNINE 5 mg (Ditropan);Antispasmodiques urinaires;Comprimé sécable;Sirop (AAC);Ne pas écraser ni croquer;Goût désagréable;;A prendre à jeun, ou si douleurs gastriques pendant les repas ou avec du lait.;Réponse laboratoire;;Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude. Mauvais goût.;18/04/2023
OXYCODONE 5, 10 et 20 mg (Oxynorm);Alcaloïdes naturels de l'opium;Gélule;Comprimés orodispersibles, solution buvable;Ne pas écraser ni croquer;;;Eviter le jus de pamplemousse.;Réponse laboratoire;;Mundipharma 24-04-2023 : écrasement déconseillé car pas d'étude;24/04/2023
OXYCODONE LP 5, 10, 15, 20, 30, 40, 60, 80 et 120 mg (Oxycontin LP);Alcaloïdes naturels de l'opium;Comprimé LP;"? Non LP ?
Comprimés orodispersibles, solution buvable";Ne pas écraser ni croquer;;;Risque de surdosage si écrasement. Eviter le jus de pamplemousse.;RCP;;Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude;18/04/2023
"PANCREATINE 10, 12,5 ; 25 et 40 kU (Creon)";Enzymes;Gélule GR;Granulés GR;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>Prise immédiate après préparation<br>;Peut être vidé dans un aliment acide semi-solide (compote, yaourt) ou liquide (jus de fruit, lait). Administration immédiate. Ne pas croquer ni garder en bouche le mélange.;RCP;;;19/09/2023
PANTOPRAZOLE 20 et 40 mg (Eupantol, Inipomp);Inhibiteurs de la pompe à protons;Comprimé GR;Non;Ne pas écraser ni croquer;;;A prendre 1h avant les repas.;RCP;;;19/09/2023
PARACETAMOL / CODEINE 300/25, 400/20, 400/25, 500/30 et 600/50 mg (Codoliprane, Dafalgan codeine, Klipal codeine, Lindilane);Anilides;Comprimé sécable;Comprimés effervescents;Ne pas écraser ni croquer;Goût désagréable;;;RCP;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PARACETAMOL / CODEINE 500/30 mg (Codoliprane);Alcaloïdes naturels de l'opium;Gélule;Comprimés effervescents;Ne pas ouvrir;Goût désagréable;;;RCP;;;18/04/2023
PARACETAMOL / OPIUM ± CAFEINE 300/10/30 et 500/25 mg (Lamaline, Izalgi);Anilides;Gélule;Suppositoires;Ne pas ouvrir;Goût désagréable;;;RCP;;;18/04/2023
"PARACETAMOL / PSEUDOEPHEDRINE / DIPHENHYDRAMINE 500/60/25 mg (Actifed rhume jour & nuit)
PARACETAMOL / PSEUDOEPHEDRINE / TRIPROLIDINE 500/60/2,5 mg (Actifed rhume)";Sympathomimétiques;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;;;18/04/2023
PARACETAMOL / TRAMADOL 37,5/325 mg (Ixprim);Autres opioïdes;Comprimé;Comprimés effervescents;Ne pas écraser ni croquer;Goût désagréable;;;RCP;;;18/04/2023
PARACETAMOL 500 et 1000 mg (Dafalgan, Doliprane);Anilides;Gélule;Comprimés effervescents, suppositoires;Ne pas ouvrir;Goût désagréable;;;Réponse laboratoire;;UPSA 30-01-2025 : pas d'opposition galénique mais pas d'étude de bioéquivalence entre l’administration de la gélule entière et son contenu.;31/01/2025
PARACETAMOL 500 et 1000 mg (Dafalgan, Doliprane);Anilides;Comprimé;Comprimés effervescents, suppositoires;Ne pas écraser ni croquer;Goût désagréable;;;Réponse laboratoire;Dafalgan : Ecrasable selon HUG 03/2023;UPSA 30-01-2025 : pas d'opposition galénique mais pas d'étude de bioéquivalence entre l’administration du comprimé entier et son contenu.;31/01/2025
PAROXETINE 20 mg (Deroxat);Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS);Comprimé sécable;Non;Ne pas écraser ni croquer;Goût désagréable;;A prendre le matin pendant les repas pour réduire le risque de nausées.;RCP;Ecrasable selon HUG 03/2023;GSK 02-10-2020 : écrasement déconseillé car pas de données. Mauvais goût et photosensible.;30/06/2023
PAZOPANIB 200 et 400 mg (Votrient);Inhibiteurs de protéine kinase;Comprimé;Solution buvable (AAC);Ne pas écraser ni croquer;;;A prendre ? 1h avant ou ? 2h après les repas. Eviter le jus de pamplemousse.;RCP;;Novartis 16-03-2022 : cf. RCP;18/04/2023
PENICILLAMINE 300 mg (Trolovol);Pénicillamine et analogues;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre 1h avant les repas chez l'enfant dans certaines indications (cf. RCP).;Réponse laboratoire;;Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données. Comprimé non-sécable malgré la barrette de cassure.;18/04/2023
PENTOXIFYLLINE LP 400 mg (génériques);Dérivés de la purine;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre de préférence pendant les repas.;RCP;;En attente (génériques);18/04/2023
PERAMPANEL 2, 4, 6, 8, 10 et 12 mg (Fycompa);Autres antiépileptiques;Comprimé;Suspension buvable;Ne pas écraser ni croquer;;;A prendre au coucher.;RCP;Ecrasable selon HUG 03/2023;;18/04/2023
"PERINDOPRIL / INDAPAMIDE 2,5/0,625 ; 4/1,25 ; 5/1,25 ; 8/2,5 et 10/2,5 (Preterax, Bipreterax)";Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre avant les repas, de préférence le matin.;Réponse laboratoire;;Servier 28-02-2022 : broyage déconseillé car pas d'étude;18/04/2023
"PERINDOPRIL 2,5 ; 5 et 10 mg (Coversyl)";Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association;Comprimé;Non;Ne pas écraser ni croquer;;;A prendre avant les repas, de préférence le matin.;Réponse laboratoire;Ecrasable selon HUG 03/2023;Servier 28-02-2022 : broyage déconseillé car pas d'étude;18/04/2023
PHENOBARBITAL 10, 50 et 100 mg (Gardenal);Barbituriques et dérivés;Comprimé;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre le soir au coucher. Peut être écrasé et mélangé à l'alimentation.;RCP;;;18/04/2023
PHENOBARBITAL 15, 50, 100 et 150 mg (Alepsal);Barbituriques et dérivés;Comprimé;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;A prendre le soir au coucher. Peut être écrasé et mélangé à l'alimentation.;RCP;;;19/09/2023
PHENOXYMETHYLPENICILLINE 1 M UI (Oracilline);Pénicillines sensibles aux bêta-lactamases;Comprimé sécable;Suspension buvable;Écrasement possible;;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise immédiate après préparation<br>;;Réponse laboratoire;;UCB Pharma 24-02-2022 : écrasement et mélange possible dans un liquide sucré ou de la compote. Administration immédiate.;18/04/2023
PHENYLBUTYRATE 500 mg (Ammonaps);Produits divers pour le tube digestif et le métabolisme;Comprimé;Granulés, liquide oral;Ne pas écraser ni croquer;Goût désagréable;;A prendre pendant les repas.;Réponse laboratoire;;Immedica 16-02-2022 : non écrasable car pas de données. Mauvais goût. Privilégier les alternatives.;18/04/2023
PHENYTOÏNE 100 mg (Di-hydan);Hydantoïne et dérivés;Comprimé sécable;Suspension buvable (AAC);Écrasement possible;;;A prendre de préférence 1h avant les repas avec ½ verre d'eau, ou en cas d'irritation gastrique pendant les repas.;RCP;;;18/04/2023
PHENYTOÏNE 100 mg (Diphante);Hydantoïne et dérivés;Comprimé sécable;Suspension buvable (AAC);Ne pas écraser ni croquer;;;A prendre de préférence 1h avant les repas avec ½ verre d'eau, ou en cas d'irritation gastrique pendant les repas.;RCP;;;18/04/2023
PHLOROGLUCINOL / SIMETICONE 80/125 mg (Meteoxane);Autres médicaments en cas de troubles fonctionnels du côlon;Gélule;Comprimés orodispersibles (? Phloroglucinol seul);Ne pas ouvrir;;;A prendre avant les repas ou au moment des douleurs.;Réponse laboratoire;;Alfasigma 08-04-2022 : ouverture déconseillée car pas d'étude.;18/04/2023
PHLOROGLUCINOL 80 mg (Spasfon);Autres médicaments contre les désordres fonctionnels gastro-intestinaux;Comprimé;Comprimés orodispersibles, suppositoires;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Teva 01-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PIMOZIDE 1 et 4 mg (Orap);Dérivés de la diphénylbutylpipéridine;Comprimé ou comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre le soir. Eviter le jus de pamplemousse.;Notice patient;;Eumedica 02-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PINAVERIUM 50 et 100 mg (Dicetel);Autres médicaments en cas de troubles fonctionnels du côlon;Comprimé;Non;Ne pas écraser ni croquer;;;PA irritant pour l'œsophage. Les comprimés doivent être ingérés sans les croquer, ni les sucer, avec un grand verre d'eau au milieu des repas. Ne pas prendre en étant allongé ou avant le coucher.;RCP;;Viatris 17-02-2023 : Ne pas écraser les comprimés sauf si administration par sonde gastrique.;18/04/2023
PINDOLOL 5 et 15 mg (Visken, Visken Quinze);Bêta-bloquants non sélectifs;Comprimé;Non;Ne pas écraser ni croquer;;;;Notice patient;;En attente (Centre de Specialites Pharmaceutiques);19/09/2023
PIPAMPERONE 40 mg (Dipiperon);Dérivés de la butyrophénone;Comprimé sécable;Solution buvable;Ne pas écraser ni croquer;;;A prendre de préférence au diner ou au coucher.;Thériaque 03/2023;Ecrasable selon HUG 03/2023;;18/04/2023
PIRACETAM 400 et 800 mg (génériques);Autres psychostimulants et nootropiques;Comprimé ou comprimé sécable;Solution buvable;Ne pas écraser ni croquer;Goût désagréable;;;Notice patient;;Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
PIRETANIDE 6 mg (Eurelix);Sulfamides non associés;Gélule GR;Non;Ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;A prendre de préférence après les repas le matin ou en milieu de journée ;RCP;;Sanofi 29/05/2024 : ouverture déconseillée car pas d'étude. Ne pas écraser les microgranules afin de conserver leur propriété gastro-résistante.;03/06/2024
PIRIBEDIL LP 50 mg (Trivastal LP);Agonistes dopaminergiques;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre en fin de repas.;Notice patient;;;18/04/2023
PIROXICAM 10 et 20 mg (Feldene);Oxicams;Gélule;Comprimés effervescents, comprimés dispersibles;Ne pas ouvrir;;;PA irritant. A prendre pendant les repas.;RCP;;;18/04/2023
PIROXICAM 20 mg (Brexin);Oxicams;Comprimé sécable;Comprimés effervescents, comprimés dispersibles;Ne pas écraser ni croquer;;;PA irritant. A prendre prendant les repas.;RCP;;;19/09/2023
PIVMECILLINAM 200 mg (Selexid);Pénicillines à large spectre;Comprimé;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>;A prendre pendant les repas, en position debout ou assise et ne pas s'allonger ? 30 min après la prise pour limiter le risque d'ulcération de l'œsophage.;Réponse laboratoire;;Alloga 21-04-2022 : écrasement possible mais médicament amer;18/04/2023
PIZOTIFENE 0,5 mg (Sanmigran);Autres antimigraineux;Comprimé;Non;Écrasement possible;;Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;;Réponse laboratoire;;En attente (Centre de Specialites Pharmaceutiques);18/04/2023
POMALIDOMIDE 1, 2, 3, 4 mg (Imnovid);Autres immunosuppresseurs;Gélule;Non;Ne pas ouvrir;;;PA cytotoxique et tératogène. A prendre à heure fixe.;RCP;;Bristol Myers Squibb 28-02-2022 : cf. RCP;18/04/2023
PONATINIB 15, 30 et 45 mg (Iclusig);Inhibiteurs de protéine kinase;Comprimé;Non;Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
POSACONAZOLE 100 mg (Noxafil);Dérivés triazolés;Comprimé GR;"Suspension buvable
? Adaptation posologique ?";Ne pas écraser ni croquer;;;Non-interchangeabilité entre la suspension buvable et les comprimés : suivre leurs recommandations posologiques respectives.;RCP;;;18/04/2023
POTASSIUM CHLORURE 600 mg (Diffu K);Potassium;Gélule;Sirop;Ouverture possible, ne pas écraser ni croquer;;Prise possible avec de l’eau<br>;;Réponse laboratoire;;UCB Pharma 24-02-2022 : gélules ouvrables si besoin, ne pas mâcher les microgranules (risque d'ulcération de l'estomac du fait de la libération de cristaux de chlorure de potassium).;18/04/2023
POTASSIUM CHLORURE LP 600 et 1000 mg (Kaleorid LP);Potassium;Comprimé LP;Sirop;Ne pas écraser ni croquer;;;A prendre de préférence en fin de repas.;RCP;;;18/04/2023
PRAMIPEXOLE 0,18 et 0,7 mg (Sifrol);Agonistes dopaminergiques;Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre pendant les repas.;Réponse laboratoire;;Boehringer Ingelheim 24-02-2022 : photosensible, cf. RCP;18/04/2023
"PRAMIPEXOLE LP 0,26 ; 0,52 ; 1,05 et 2,1 mg (Sifrol LP)";Agonistes dopaminergiques;Comprimé LP;Non;Ne pas écraser ni croquer;;;A prendre à heure fixe.;RCP;;Boehringer Ingelheim 24-02-2022 : photosensible, cf. RCP;18/04/2023
PRASUGREL 10 mg (Efient);Inhibiteur de l'agregation plaquettaire;Comprimé;Non;Ne pas écraser ni croquer;Goût désagréable;;;RCP;Ecrasable selon HUG 03/2023;Substipharm 26/01/2023 : cf. RCP + gout amer;18/04/2023
PRAVASTATINE 10, 20 et 40 mg (Vasten);Inhibiteurs de l'HMG-CoA reductase (statines);Comprimé sécable;Non;Ne pas écraser ni croquer;;;A prendre de préférence le soir.;Réponse laboratoire;;Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude;18/04/2023
PRAZEPAM 10 et 40 mg (Lysanxia);Dérivés des benzodiazépines;Comprimé ou comprimé sécable;Solution buvable en gouttes;Ne pas écraser ni croquer;;;;Réponse laboratoire;;Alfasigma 08-04-2022 : écrasement déconseillé car pas d'étude.;18/04/2023
PRAZIQUANTEL 600 mg (Biltricide);Dérivés de la quinoléïne et apparentés;Comprimé sécable;Non;Écrasement possible;Goût désagréable;Prise possible avec de l’eau<br>Prise possible avec un jus d’orange<br>Prise possible avec du lait<br>Prise possible avec de la compote<br>Prise possible avec un yaourt<br>;Peut être écrasé ou désagrégé et mélangé à un liquide ou un aliment semi-solide. A prendre de préférence pendant ou en fin de repas, le soir en cas de prise unique.;RCP;;;18/04/2023
PRAZOSINE LP 2,5 et 5 mg (Alpress LP);Alpha-bloquants;Comprimé osmotique;Non;Ne pas écraser ni croquer;;;;RCP;;;18/04/2023
